::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 Photoionisation model P6, MAPPINGS V v5.1.13 
::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
 (Diffuse Field , Robust Integration, Radiation Pressure)

 Run   :, example II                                                                                      
 Input :, INTERACTIVE                     
 Output:, photn0001.ph6                   

 Abundances:
 El.,log[X/H],12+[X/H],log[Del],log[Dep],log[Gas],12+[Gas], Mass Fr.
      765.147,  1.6204E+01,  3.6674E-04, N  IV    , CM  ,    2
      786.468,  1.5765E+01,  4.9683E-04, S  V     , CM  ,    2
      787.710,  1.5740E+01,  4.6218E-03, O  IV    , CM  ,    2
      790.114,  1.5692E+01,  8.8485E-04, O  IV    , CM  ,    2
      790.201,  1.5690E+01,  1.7279E-03, O  IV    , CM  ,    2
      796.679,  1.5563E+01,  2.0293E-05, S  III   , CC  ,    3
      809.656,  1.5313E+01,  1.2653E-04, S  IV    , CC  ,    3
      815.941,  1.5195E+01,  1.7855E-04, S  IV    , CC  ,    3
      820.885,  1.5104E+01,  8.0917E-05, S  III   , CC  ,    3
      822.565,  1.5073E+01,  1.0902E-04, S  III   , CC  ,    3
      824.501,  1.5037E+01,  2.8334E-05, S  III   , CC  ,    3
      832.758,  1.4888E+01,  1.0908E-04, O  II    , CC  ,    3
      832.929,  1.4885E+01,  9.1667E-03, O  III   , CC  ,    3
      833.330,  1.4878E+01,  2.1985E-04, O  II    , CC  ,    3
      833.715,  1.4871E+01,  6.6463E-03, O  III   , CC  ,    3
      833.749,  1.4871E+01,  1.9749E-03, O  III   , CC  ,    3
      834.465,  1.4858E+01,  3.3790E-04, O  II    , CC  ,    3
      835.059,  1.4847E+01,  4.1500E-04, O  III   , CC  ,    3
      835.092,  1.4847E+01,  6.1570E-04, O  III   , CC  ,    3
      835.289,  1.4843E+01,  2.6004E-03, O  III   , CC  ,    3
      840.032,  1.4759E+01,  1.7735E-05, Ar IV    , CC  ,    3
      843.770,  1.4694E+01,  1.8334E-05, Ar IV    , CC  ,    3
      850.605,  1.4576E+01,  5.8378E-05, Ar IV    , CC  ,    3
      858.092,  1.4449E+01,  2.1703E-05, C  II    , CC  ,    3
      858.559,  1.4441E+01,  4.2704E-05, C  II    , CC  ,    3
      900.242,  1.3772E+01,  5.2526E-05, S  III   , CC  ,    3
      902.561,  1.3737E+01,  7.2019E-05, S  III   , CC  ,    3
      903.623,  1.3721E+01,  1.4453E-05, C  II    , CC  ,    3
      903.962,  1.3716E+01,  1.4318E-05, C  II    , CC  ,    3
      904.141,  1.3713E+01,  7.2213E-05, C  II    , CC  ,    3
      924.147,  1.3416E+01,  1.4623E-04, He II    , RCAB,    1
      925.822,  1.3392E+01,  1.7521E-04, He II    , RCAB,    1
      927.851,  1.3363E+01,  2.1231E-04, He II    , RCAB,    1
      930.342,  1.3327E+01,  2.6093E-04, He II    , RCAB,    1
      933.378,  1.3283E+01,  5.8490E-05, S  VI    , CM  ,    2
      933.449,  1.3282E+01,  3.2572E-04, He II    , RCAB,    1
      937.394,  1.3226E+01,  4.1385E-04, He II    , RCAB,    1
      937.803,  1.3221E+01,  1.0183E-05, H  I     , RCAB,    3
      942.512,  1.3155E+01,  5.3769E-04, He II    , RCAB,    1
      944.523,  1.3127E+01,  3.0544E-05, S  VI    , CM  ,    2
      949.328,  1.3060E+01,  7.1719E-04, He II    , RCAB,    1
      949.743,  1.3055E+01,  1.8952E-05, H  I     , RCAB,    3
      958.698,  1.2933E+01,  9.8729E-04, He II    , RCAB,    1
      972.111,  1.2754E+01,  1.4169E-03, He II    , RCAB,    1
      972.537,  1.2749E+01,  3.8280E-05, H  I     , RCAB,    3
      977.020,  1.2690E+01,  3.2195E-02, C  III   , CC  CM  ,    3, *
      989.799,  1.2526E+01,  7.4104E-04, N  III   , CM  ,    2
      989.873,  1.2525E+01,  1.6508E-05, Si II    , CC  ,    3
      991.511,  1.2505E+01,  1.4463E-04, N  III   , CM  ,    2
      991.577,  1.2504E+01,  2.2261E-04, N  III   , CM  ,    2
      992.363,  1.2494E+01,  2.1473E-03, He II    , RCAB,    1
     1012.495,  1.2245E+01,  2.9735E-04, S  III   , CC  ,    3
     1015.502,  1.2209E+01,  1.3778E-04, S  III   , CC  ,    3
     1015.567,  1.2208E+01,  2.3321E-04, S  III   , CC  ,    3
     1015.779,  1.2206E+01,  1.9274E-04, S  III   , CC  ,    3
     1021.108,  1.2142E+01,  2.1005E-04, S  III   , CC  ,    3
     1021.323,  1.2140E+01,  3.4374E-04, S  III   , CC  ,    3
     1025.272,  1.2093E+01,  3.5002E-03, He II    , RCAB,    1
     1025.722,  1.2088E+01,  9.9361E-05, H  I     , RCAB,    3
     1031.912,  1.2015E+01,  6.9493E-04, O  VI    , CM  ,    2
     1036.337,  1.1964E+01,  6.2371E-05, C  II    , CC  ,    3
     1037.018,  1.1956E+01,  1.2312E-04, C  II    , CC  ,    3
     1037.613,  1.1949E+01,  3.5632E-04, O  VI    , CM  ,    2
     1062.664,  1.1667E+01,  2.3658E-03, S  IV    , CC  ,    3
     1066.014,  1.1631E+01,  3.2150E-05, C  II    , RB  ,    4
     1072.974,  1.1555E+01,  2.2777E-03, S  IV    , CC  ,    3
     1073.518,  1.1549E+01,  3.6003E-04, S  IV    , CC  ,    3
     1077.157,  1.1510E+01,  5.1724E-04, S  III   , CC  ,    3
     1083.990,  1.1438E+01,  1.7196E-05, N  II    , CC  ,    3
     1084.562,  1.1432E+01,  1.2679E-05, N  II    , CC  ,    3
     1084.942,  1.1428E+01,  6.3651E-03, He II    , RCAB,    1
     1102.362,  1.1247E+01,  1.0304E-05, S  II    , CC  ,    3
     1113.230,  1.1137E+01,  1.1206E-05, Si III   , CC  ,    3
     1136.515,  1.0909E+01,  9.5890E-05, Ne V     , CM  ,    2
     1141.686,  1.0860E+01,  4.1209E-05, C  II    , RB  ,    4
     1145.606,  1.0823E+01,  2.7216E-04, Ne V     , CM  ,    2
     1188.281,  1.0434E+01,  1.1743E-04, S  V     , CM  ,    2
     1190.203,  1.0417E+01,  1.5621E-03, S  III   , CC  ,    3
     1190.416,  1.0415E+01,  3.4307E-05, Si II    , CC  ,    3
     1193.290,  1.0390E+01,  2.1751E-04, Si II    , CC  ,    3
     1194.058,  1.0383E+01,  1.8188E-03, S  III   , CC  ,    3
     1194.449,  1.0380E+01,  1.0297E-03, S  III   , CC  ,    3
     1194.500,  1.0380E+01,  1.7612E-04, Si II    , CC  ,    3
     1197.394,  1.0355E+01,  1.1250E-04, Si II    , CC  ,    3
     1199.134,  1.0339E+01,  8.5443E-05, S  V     , CM  ,    2
     1200.966,  1.0324E+01,  1.9312E-03, S  III   , CC  ,    3
     1201.726,  1.0317E+01,  4.6625E-04, S  III   , CC  ,    3
     1202.122,  1.0314E+01,  5.2835E-05, S  III   , CC  ,    3
     1206.500,  1.0276E+01,  9.5631E-05, Si III   , CC  ,    3
     1206.500,  1.0276E+01,  1.6334E-02, Si III   , CM  ,    2
     1213.809,  1.0214E+01,  3.6532E-03, O  V     , CM  ,    2
     1215.131,  1.0203E+01,  1.3778E-02, He II    , RCAB,    1
     1215.670,  1.0199E+01,  2.9314E+01, H  I     , RCAB,    3
